country,designation,points,price,province,taster_name,winery,Uniqueprovince
US,,87,14,Oregon,Paul Gregutt,Rainstorm,Oregon
US,Reserve Late Harvest,87,13,Michigan,Alexander Peartree,St. Julian,Michigan
US,Vintner's Reserve Wild Child Block,87,65,Oregon,Paul Gregutt,Sweet Cheeks,California
US,Mountain CuvÃ©e,87,19,California,Virginie Boone,Kirkland Signature,Virginia
US,,87,34,California,Virginie Boone,Louis M. Martini,Washington
US,,87,12,California,Matt Kettmann,Mirassou,New York
US,,87,32,Virginia,Alexander Peartree,QuiÃ©vremont,Idaho
US,Vin de Maison,87,23,Virginia,Alexander Peartree,QuiÃ©vremont,Texas
US,,87,20,Oregon,Paul Gregutt,Acrobat,Pennsylvania
US,Signature Selection,87,22,California,Matt Kettmann,Bianchi,America
US,King Ridge Vineyard,87,69,California,Virginie Boone,Castello di Amorosa,New Jersey
US,,86,16,California,Virginie Boone,Clarksburg Wine Company,Missouri
US,Puma Springs Vineyard,86,50,California,,Envolve,New Mexico
US,,86,20,California,,Envolve,Nevada
US,Hyland,86,50,Oregon,Paul Gregutt,Erath,Colorado
US,,86,22,Oregon,Paul Gregutt,Hawkins Cellars,Arizona
US,,86,14,California,,Robert Hall,Massachusetts
US,#SocialSecret,86,40,Virginia,,Tarara,Ohio
US,,86,13,California,,The White Knight,Illinois
US,,86,16,Virginia,,Trump,Washington-Oregon
US,Estate Bottled,85,30,California,,RustRidge,North Carolina
US,,85,14,California,Virginie Boone,Souverain,Iowa
US,,86,55,Washington,Sean P. Sullivan,Mellisoni,Vermont
US,Estate,86,100,California,Virginie Boone,Okapi,Kentucky
US,Alder Ridge Vineyard,86,25,Washington,Sean P. Sullivan,Ram,Connecticut
US,Golden Horn,86,26,California,Matt Kettmann,Sevtap,Rhode Island
US,Inspired,86,46,Washington,Sean P. Sullivan,Basel Cellars,Hawaii
US,,86,12,California,Jim Gordon,Cocobon,
US,,86,12,Washington,Sean P. Sullivan,Drumheller,
US,Old Vine,86,40,California,Virginie Boone,Eco Terreno,
US,Bella Vetta Vineyard,86,75,California,Virginie Boone,Hindsight,
US,Estate Grown,86,55,California,Virginie Boone,Hindsight,
US,The Cypher,86,75,California,Virginie Boone,Mulvane Wine Co.,
US,RosÃ© of,86,25,Oregon,Paul Gregutt,Z'IVO,
US,Classic,86,24,California,Virginie Boone,Napa Cellars,
US,,86,20,Washington,Sean P. Sullivan,Palencia,
US,Blau Vineyards,86,55,California,Virginie Boone,Passaggio,
US,Siena,88,23,California,Virginie Boone,Ferrari-Carano,
US,,88,18,California,Virginie Boone,Folie Ã  Deux,
US,Magnificat,88,55,California,Virginie Boone,Franciscan,
US,Grand Klasse Reserve Lawrence Vineyards,88,22,Washington,Sean P. Sullivan,GÃ¥rd,
US,Ingle Vineyard,88,20,New York,Anna Lee C. Iijima,Heron Hill,
US,Intreccio Library Selection,88,75,California,Virginie Boone,Soquel Vineyards,
US,,88,18,New York,Anna Lee C. Iijima,Ventosa,
US,Red Oak Vineyard,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing,
US,Yellow Dog Vineyard,87,20,New York,Anna Lee C. Iijima,Lamoreaux Landing,
US,J.D. Hurley,87,26,California,Matt Kettmann,Martin Ranch,
US,Wolff Vineyard,87,85,California,Virginie Boone,PiÃ±a,
US,BDX,87,18,California,Matt Kettmann,Pull,
US,,87,18,California,Matt Kettmann,Pull,
US,Camp 4 Vineyard,87,25,California,Matt Kettmann,R2,
US,Estate,87,44,California,Matt Kettmann,Rideau,
US,Stuhlmuller Vineyard,92,36,California,,Matrix,
US,Rockpile Cemetary Vineyard,92,39,California,,Mauritson,
US,,92,45,California,,Silverado,
US,,91,78,California,,Clark-Clauden,
US,,90,17,California,,Banyan,
US,K Block,91,85,California,Virginie Boone,Terra Valentine,
US,Guidotti Vineyard,91,64,California,Matt Kettmann,Testarossa,
US,Family Reserve,91,68,California,Matt Kettmann,Vincent Vineyards,
US,Family Reserve,91,68,California,Matt Kettmann,Vincent Vineyards,
US,Destruction Level,91,35,California,Matt Kettmann,Wrath,
US,Ruth's Reach,91,25,California,Virginie Boone,Yardstick,
US,Estate Reserve,91,55,California,Matt Kettmann,Albatross Ridge,
US,Old 900,91,46,California,Matt Kettmann,Alta Colina,
US,,91,36,California,Matt Kettmann,Big Basin,
US,Mr. Nibbles,91,35,California,Matt Kettmann,Chronic Cellars,
US,Claiborne Vineyard,91,28,California,Matt Kettmann,Claiborne & Churchill,
US,,91,28,California,Matt Kettmann,Dracaena,
US,Rector Creek Vineyard,91,95,California,Virginie Boone,Duckhorn,
US,Dutton Ranch,91,44,California,Virginie Boone,Dutton-Goldfield,
US,,91,38,Oregon,Paul Gregutt,Le Cadeau,
US,Jack London Vineyard,88,25,California,,Kenwood,
US,Lucia Highland Vineyard,88,23,California,,Manzoni,
US,Mission Ranch,88,36,California,,McIntyre Vineyards,
US,,88,35,California,,Anaba,
US,Wiley Vineyard,88,40,California,,Harrington,
US,Four Soil MÃ©lange,90,60,California,Virginie Boone,Sequum,
US,Rising Starr Estate Bottled,90,28,California,Jim Gordon,Sierra Starr,
US,Gesture,90,30,California,Matt Kettmann,J. Lohr,
US,October Night,90,25,California,Matt Kettmann,J. Lohr,
US,,90,25,California,Virginie Boone,Courtney Benham,
US,Home Ranch Teldeschi Vineyards Century Old Vine,90,32,California,Virginie Boone,Del Carlo Winery,
US,1105,90,48,California,Matt Kettmann,MCV,
US,Verah,90,36,California,Virginie Boone,Mounts,
US,,90,20,California,Virginie Boone,Robert Mondavi,
US,,90,40,California,Virginie Boone,Sixteen by Twenty,
US,Grace House,85,15,New York,,Wagner,
US,Semi-Dry,85,14,New York,,Treleaven,
US,Costa Del Sol,85,18,California,,Benessere,
US,,85,16,New York,Susan Kostrzewa,Bloomer Creek,
US,Reserve,85,28,Oregon,Paul Gregutt,Silvan Ridge,
US,Thompson Vineyard,85,49,California,,Testarossa,
US,Kiss Ridge Vineyard,85,85,California,,Meeker,
US,,85,36,California,,Dogwood,
US,,85,34,California,,Falcor,
US,Reserve Selection,85,15,California,,Hayman & Hill,
US,Blanc de Blanc,85,30,New York,,Hermann J. Wiemer,
US,Reserve,85,25,California,,Work,
US,Estate Single Vineyard,85,45,Oregon,Paul Gregutt,Amity,
US,Petit Verdot-Merlot,85,18,Virginia,,Autumn Hill,
US,Estate,85,49,California,,Blue Rock,
US,Papillon Estate,85,22,Oregon,Paul Gregutt,Cherry Hill,
US,Seity,85,35,California,,Cloud 9,
US,,89,45,California,,David Fulton,
US,Reserva,89,55,California,Virginie Boone,Esterlina,
US,Estate,89,40,Oregon,Paul Gregutt,Willamette Valley Vineyards,
US,Fairytale,89,39,California,Virginie Boone,Beaver Creek,
US,Monument,89,60,California,,Byron,
US,Old Vines,89,20,California,,St. Francis,
US,,89,30,California,,Trailhead,
